doctorID,firstname,surname,address,email,specialization,experience
1724,Boothe,Pavlov,Suite 67,bpavlovd@liveinternet.ru,Ophthalmology,5
3326,Appolonia,Streatfeild,PO Box 77011,astreatfeild7@jugem.jp,Oncologists,5
3527,Georgena,Harradence,11th Floor,gharradencef@yelp.com,general,5
3573,Isaac,Karpushkin,Room 453,ikarpushkinj@bbb.org,Ophthalmology,5
3802,Benedetta,Amoore,Apt 905,bamooreb@pbs.org,emergency,5
4438,Killian,Pendell,Suite 41,kpendell8@shinystat.com,general,5
4449,Romola,Thurber,Room 1380,rthurberg@disqus.com,general,5
4516,Denny,Kohen,Apt 1449,dkohenc@bluehost.com,Oncologists,5
5512,Che,Vale,PO Box 91297,cvale3@forbes.com,intensivecare,5
5701,Paula,Rippen,Suite 54,prippeni@edublogs.org,emergency,5
6689,Blancha,Pickworth,PO Box 92515,bpickworthh@adobe.com,Ophthalmology,5
7697,Lottie,Deveral,12th Floor,ldeverale@wunderground.com,general,5
7763,Zahara,Klimkiewich,Room 870,zklimkiewich1@marriott.com,Anaesthetists,5
7781,Miguela,Greenhalgh,7th Floor,mgreenhalgh9@howstuffworks.com,Anaesthetists,5
7842,Guillaume,Insley,5th Floor,ginsley6@blinklist.com,Oncologists,5
7873,Therese,Giblin,Apt 192,tgiblin4@nymag.com,Ophthalmology,5
9055,Vanessa,Philippon,Room 539,vphilippon2@ow.ly,intensivecare,5
9116,Lars,Elwyn,Room 573,lelwyna@wikimedia.org,Oncologists,5
9783,Lavena,Yellowley,Room 1101,lyellowley5@nytimes.com,intensivecare,5
9947,Ole,Hadcock,Room 1193,ohadcock0@sakura.ne.jp,intensivecare,5
